,Unnamed: 0,player_id,salary,_id,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,draft_year,height,position,shoots,weight
10,10,adamsjo01,1404600.0,adamsjo01,0.6,40.2,38.5,60.7,32,13.1,-0.9173894280723142,-1.135628498964609,-0.7081828772727337,45.7,2014,6.416666666666667,Shooting Guard,Right,209.0
11,11,adamsmi01,826500.0,adamsmi01,6.4,41.5,33.2,84.9,653,16.6,1.3501645058266256,-0.21824925718943097,0.745140195071043,47.5,1985,5.833333333333333,Point Guard,Right,162.0
12,12,adamsst01,6433461.4,adamsst01,1.0,58.8,0.0,55.3,467,16.7,0.36427149108795603,1.8458540368047198,0.4888552661846137,58.8,2013,7.0,Center,Right,265.0
13,13,addisra01,346600.0,addisra01,0.9,44.9,28.2,77.2,379,10.5,-0.40472506040820605,-0.5852009538995022,-0.5675387089814005,46.6,1986,6.583333333333333,Small Forward,Right,215.0
14,14,adebaba01,2490360.0,adebaba01,1.9,55.0,13.6,72.8,151,17.0,0.029067866076808564,1.4330333780058897,-0.3768877252975931,55.1,2017,6.833333333333333,Center,Right,255.0
15,15,afflaar01,4904346.583333333,afflaar01,1.8,45.0,38.6,82.5,762,11.9,0.5811679543304636,-0.21824925718943097,0.326333116159073,51.4,2007,6.416666666666667,Shooting Guard and Small Forward,Right,210.0
16,16,agerma01,751656.25,agerma01,0.2,33.9,25.0,56.6,82,2.8,-1.1342858913148213,-1.2732353852308858,-0.7488134147791187,36.8,2006,6.416666666666667,Shooting Guard,Right,202.0
17,17,aguirma01,908515.5555555556,aguirma01,3.1,48.4,31.2,74.1,923,19.0,2.395211101449615,0.7449989466745062,1.398354221135235,49.8,1981,6.5,Small Forward,Right,232.0
18,18,aingeda01,977777.7777777778,aingeda01,4.0,46.9,37.8,84.6,1042,14.7,0.7191929763938772,-0.3099871813669487,1.5139949817303313,51.9,1981,6.333333333333333,Shooting Guard and Point Guard,Right,175.0
19,19,alabiso01,800000.0,alabiso01,0.2,31.4,-,70.0,26,10.3,-1.252593053083462,-0.49346302972198447,-0.7206845811208521,31.4,2010,7.083333333333333,Center,Right,251.0
20,20,alarima01,383125.0,alarima01,1.1,47.5,25.2,77.5,325,13.0,-0.06952143539705839,0.011095553254363552,-0.4581488003103634,48.3,1986,6.666666666666667,Power Forward,Right,217.0
21,21,aldrico01,3411951.8571428573,aldrico01,0.5,52.7,-,73.8,339,16.6,-0.9371072883670875,-0.0347734088343954,-0.4206436887660079,52.7,2010,6.916666666666667,Center,Right,250.0
22,22,aldrila01,12301576.833333334,aldrila01,2.0,49.1,28.3,81.0,950,20.9,2.316339660270522,2.304543657692309,2.623521198250849,49.5,2006,6.916666666666667,Power Forward and Center,Right,260.0
23,23,alexaco01,1520144.75,alexaco01,2.7,38.9,35.4,75.6,307,12.4,-0.4638786412925262,-0.8145457643432967,-0.6269218022599633,46.8,1995,6.083333333333333,Shooting Guard and Point Guard,Right,185.0
24,24,alexaco02,1300460.4,alexaco02,1.2,42.2,33.9,81.3,187,11.5,0.22624646902454246,-0.5393319918107432,-0.5925421166776373,43.5,2000,6.416666666666667,Point Guard and Shooting Guard,Right,205.0
25,25,alexajo01,1692315.0,alexajo01,0.7,41.0,34.0,69.8,67,9.9,-0.7202108251245802,-0.7228078401657789,-0.705057451310704,44.2,2008,6.666666666666667,Small Forward,Right,230.0
